State,Water Quality
Alabama,52
Alaska,82
Arkansas,76
Arizona,68
California,60
Colorado,61
Connecticut,66
District of Columbia,51
Delaware,50
Florida,51
Georgia,60
Hawaii,68
Iowa,64
Idaho,51
Illinois,61
Indiana,59
Kansas,66
Kentucky,41
Louisiana,47
Massachusetts,54
Maryland,64
Maine,57
Michigan,53
Minnesota,53
Missouri,57
Mississippi,64
Montana,72
North Carolina,59
North Dakota,68
Nebraska,69
New Hampshire,71
New Jersey,54
New Mexico,59
Nevada,57
New York,59
Ohio,57
Oklahoma,57
Oregon,66
Pennsylvania,52
Rhode Island,48
South Carolina,64
South Dakota,69
Tennessee,56
Texas,55
Utah,74
Virginia,67
Vermont,75
Washington,69
Wisconsin,75
West Virginia,44
Wyoming,78